Q8CH79	Q8CH79
Q8CH79	Q12797-3
Q9NQ86-3	Q9NQ86-3
O88656	O88656
O88656	Q9R0Q6
O88656	Q92747
O88656	Q58CQ2
O88656	Q9WV32
O88656	O15143
O88656	Q99PD4
A2AKE7	A2AKE7
D3ZYJ5	D3ZYJ5
D3ZYJ5	Q3KR56
D3ZYJ5	Q80TI0
D3ZYJ5	Q3KR37
D3ZYJ5	Q8VEF1
D3ZYJ5	Q96CP6-2
D3ZYJ5	Q96CP6
D3ZYJ5	Q3KR37-4
P0DMU3	P0DMU3
Q9EPA0	Q9EPA0
Q9EPA0	Q05AA6
Q9EPA0	Q13474
P62948	P62948
P62948	P62945
NP_038715	NP_038715
NP_038715	Q01755
NP_038715	Q5XI00
M0RBY8	M0RBY8
P51878-3	P51878-3
P51878-3	P29466-4
P49321-3	P49321-3
P49321-3	P49321
P49321-3	P49321-4
P49321-3	Q99MD9
P49321-3	Q66HD3
Q68FP9	Q68FP9
Q68FP9	Q8R3I3
Q68FP9	Q9Y2V7
Q6AYS7	Q6AYS7
Q6AYS7	Q6PTT0
Q6AYS7	Q03154
Q6AYS7	Q99JW2
Q9H201-2	Q9H201-2
D3ZKX3	D3ZKX3
D3ZKX3	Q80X91
D3ZKX3	Q8TAY7
D3ZAF9	D3ZAF9
B1AH88	B1AH88
D3ZUW1	D3ZUW1
D3ZUW1	Q62183
D3ZUW1	Q8C641
D3ZUW1	O35703
D3ZUW1	Q62184
F1M635	F1M635
F1M635	Q9CX60
F1M635	Q53QV2
D4A7L7	D4A7L7
D4A7L7	A2BI40
Q8N5J2-2	Q8N5J2-2
Q29TV8	Q29TV8
Q29TV8	Q86XP6
Q29TV8	Q9CQS6
Q80Z70	Q80Z70
Q80Z70	Q9Z2G6
Q80Z70	Q9UBV2
Q99ZW2	Q99ZW2
D4A9L1	D4A9L1
D4A9L1	P78414
D4A9L1	P81068
M0RC65	M0RC65
M0RC65	Q7M0E3
M0RC65	P60982
M0RC65	P60981-2
M0RC65	P60981
M0RC65	Q9R0P5
M0RC65	P18359
M0RC65	P45591
M0RC65	Q9Y281
M0RC65	P10668
M0RC65	P45592
M0RC65	P18760
M0RC65	P23528
AAI39793	AAI39793
AAI39793	O15079-2
AAI39793	Q80U23
AAI39793	O15079
AAI39793	B5DF41
D3Z9K7	D3Z9K7
D3Z9K7	P04785
D3Z9K7	Q5XI02
D3Z9K7	Q13087
D3Z9K7	D3Z6P0
D3Z9K7	P09103
D3Z9K7	P07237
D3Z9K7	P27773
D3Z9K7	P30101
D3Z9K7	Q8N807
D3Z9K7	P11598
P0DTC2	P0DTC2
P0DTC2	P0DTC2_VAR_OMICRON
P0DTC2	P59594
Q9NPI1-2	Q9NPI1-2
Q9NPI1-2	O88665
Q9NPI1-2	D4ACF5
Q9NPI1-2	Q9NPI1
Q9NPI1-2	Q3UQU0
Q9NPI1-2	Q9H8M2
Q9NPI1-2	A0A0G2JTM7
Q8IW45-2	Q8IW45-2
P18847-2	P18847-2
Q6PIW4-2	Q6PIW4-2
E9QMW4	E9QMW4
E9QMW4	A6NNT2
D3ZF11	D3ZF11
D3ZF11	G3UW70
Q9NR46-2	Q9NR46-2
Q9NR46-2	Q8R3V5
Q9NR46-2	Q9NR46
Q9NR46-2	Q9Y371
Q9NR46-2	Q9JK48
Q9NR46-2	Q5PPJ9
Q9NR46-2	Q6AYE2
Q9NR46-2	Q9Y371-2
Q86YM7-2	Q86YM7-2
M0R8L5	M0R8L5
M0R8L5	J3QNP2
M0R8L5	P0DKX4
D3ZHL1	D3ZHL1
Q96EI5-2	Q96EI5-2
P55265-4	P55265-4
P55265-4	P55265-2
P55265-4	P55266
P55265-4	Q99MU3
P55265-4	P55265
Q13884-2	Q13884-2
P60174-3	P60174-3
P60174-3	P17751
P60174-3	P60174
P60174-3	P48500
P40925-2	P40925-2
Q9NYG2-2	Q9NYG2-2
Q9NYG2-2	Q923G5
Q9NYG2-2	Q2TGK3
Q9NYG2-2	Q9NYG2
Q9NYG2-2	Q8R173
Q9NYG2-2	Q91WU6
Q9NYG2-2	Q9NXF8
Q925U0	Q925U0
Q9HC73-3	Q9HC73-3
P55211-4	P55211-4
Q0VBL6-2	Q0VBL6-2
P78314-4	P78314-4
P78314-4	F1LS93
P78314-4	P78314-3
P78314-4	Q06649
P78314-4	P78314
P78314-4	F1ND54
Q96MV8-2	Q96MV8-2
Q9UH17-2	Q9UH17-2
F1N0C3	F1N0C3
