P60901	P60901
P60901	Q9QUM9
P60901	P60900
P10362	P10362
P10362	Q03517
P10362	P13521
P70338	P70338
P70338	Q99684
P70338	Q5VTD9
P70338	O70237
P70338	Q07120
Q9H772	Q9H772
Q9H772	O88273
Q9H772	O60565
Q9H772	O70326
Q8NHS3	Q8NHS3
Q8NHS3	Q8BH31
P54282	P54282
P54282	P97445
P54282	O00555
P54282	Q9PUM6
P54282	Q05152
P54282	Q00975
P54282	O55017-2
P54282	Q02294
P54282	O55017
P54282	A2AIS0
P54282	B2RWX7
P54282	Q61290
P54282	Q07652
P54282	Q15878
Q96CS7	Q96CS7
Q09167	Q09167
Q09167	O35326
Q09167	Q13243
Q09167	Q13243-2
Q09167	G3V6S8
Q09167	Q3TWW8
Q09167	Q13247
Q09167	NP_001102155
Q09167	Q8VE97
Q09167	Q08170
Q63754	Q63754
Q63754	Q16143
Q63754	Q91ZZ3
Q63754	O55042
Q63754	O76070
Q63754	Q63544
Q63754	P37840
Q63754	Q9Z0F7
Q63754	P37377
Q05546	Q05546
Q05546	Q92752
Q05546	Q8BYI9
O09126	O09126
O09126	Q92854
Q3B8P7	Q3B8P7
Q3B8P7	Q9CQF4
Q3B8P7	Q9P0P8
Q4V8D0	Q4V8D0
Q4V8D0	Q3V0A6
Q4V8D0	XP_003086949
Q4V8D0	XP_003086955
Q4V8D0	XP_001073318
Q9UDX5	Q9UDX5
Q9UDX5	Q5XIG9
Q68FX6	Q68FX6
Q68FX6	Q8C633
Q6JHY3	Q6JHY3
Q6JHY2	Q6JHY2
P15502	P15502
P15502	ENSRNOP00000050167
Q8QZS3	Q8QZS3
Q8QZS3	Q76JQ2
Q8QZS3	Q8NFG4
E9Q9B3	E9Q9B3
E9Q9B3	Q8NCJ5
Q9GZQ6	Q9GZQ6
Q9GZQ6	Q9Y5X5
Q8N4G2	Q8N4G2
Q8N9Y4	Q8N9Y4
Q5U4P2	Q5U4P2
Q9NYB5	Q9NYB5
Q9NYB5	Q9NYB5-3
Q5FVM3	Q5FVM3
Q5FVM3	Q9H6L5
Q5FVM3	Q8VE91
Q9DBN4	Q9DBN4
Q9DBN4	Q96A73
Q9DBN4	Q5U2R6
Q498E2	Q498E2
Q498E2	Q8C5P7
Q498E2	Q86YL5
Q4V7B1	Q4V7B1
Q4V7B1	Q6ZVT6
Q4V7B1	Q6P2K3
Q5J3L2	Q5J3L2
Q5J3L2	Q8R2E2
Q5J3L2	Q8R2D2
Q5J3L2	Q9EQ36
Q5J3L2	Q8R2D5
Q5J3L2	Q8R2E3
Q5J3L2	Q8R2E4
Q8R256	Q8R256
Q8R256	Q5J3M8
Q8R256	E9Q235
O60287	O60287
O60287	Q571H0
O60287	D4A7S4
