Q9NSC7	Q9UNP4	25.300	328	600	418
Q9NSC7	Q96JF0	27.700	220	600	529
Q9ERA6	P98175-5	35.300	82	838	995
Q9GZZ9	P41226	26.800	149	404	1012
Q8N807	P13667	25.300	477	584	645
Q8TCT9-2	A2A6C4	29.700	212	426	690
P09958	P29122	50.200	729	794	969
O60234	Q12792	28.400	116	142	350
Q8VHG0	Q8IWF2	22.200	364	560	684
Q9HBX8	P16473	24.100	746	967	764
Q9HBX8	O94769	29.100	353	967	699
Q9HBX8	Q9ULH4	31.100	218	967	789
Q9HBX8	NP_001101057	26.200	488	967	846
Q9HBX8	Q99983	27.900	265	967	421
Q9HBX8	Q68CR7	29.300	201	967	880
Q9HBX8	Q96QE4	28.600	157	967	947
Q9HBX8	Q9BXR5	23.900	492	967	811
Q9HBX8	Q96AG4	35.900	103	967	307
Q9HBX8	Q96M69	28.600	227	967	825
Q9HBX8	Q6P2D8	31.600	117	967	792
Q9HBX8	Q8NEP3	30.400	164	967	725
O15143	Q96EE3-1	21.700	184	372	421
O15143	Q3UMY5	21.000	76	372	988
O15229	Q14534	23.200	336	486	574
Q5SW96	Q8N2R8	28.100	174	308	423
Q08731	Q5KU26	26.200	145	173	742
Q08731	Q9UJ71	28.000	125	173	328
Q08731	Q6UX15	23.200	159	173	382
Q6UWP7	Q9NUQ2	28.500	284	414	364
Q6UWP7	Q92604	25.400	287	414	370
Q9Y639	P13591	23.200	327	398	858
Q9Y639	Q63198	25.700	307	398	1021
Q9Y639	Q8IVU1	24.500	330	398	814
Q9Y639	Q80W68	22.000	249	398	789
Q9Y639	NP_076473	24.200	136	398	648
Q9Y639	P35329	20.700	352	398	868
Q9Y639	P50895	20.000	249	398	628
Q9Y639	Q9ULH4	31.200	96	398	789
Q9QXZ9	Q9Y5X5	26.600	296	521	522
Q9QXZ9	Q13585	26.100	226	521	617
Q9QXZ9	Q9NSD7	25.700	334	521	469
Q9QXZ9	Q14439	28.100	135	521	515
Q9QXZ9	P16473	23.400	290	521	764
Q9QXZ9	P30558	24.800	233	521	430
Q9QXZ9	Q9NS66	22.900	148	521	373
Q9QXZ9	P32245	24.600	130	521	332
Q9QXZ9	Q9UPC5	24.100	124	521	381
Q9QXZ9	Q5U431	21.700	152	521	456
B2RUJ5	O14936	27.100	81	842	926
XP_226517	Q8WZ60	27.600	485	597	621
XP_226517	Q8CE33	23.800	470	597	709
XP_226517	Q9D618	23.600	504	597	625
XP_226517	Q5XI58	22.200	450	597	588
XP_226517	Q5VTJ3	29.900	157	597	777
XP_226517	F1M7U0	23.800	176	597	539
XP_226517	Q9P1Z0	37.900	58	597	1013
XP_226517	Q8N653	20.800	163	597	840
Q17RD7	Q8NBV8	23.600	292	645	401
Q17RD7	D3ZLU0	31.500	114	645	422
O60635	P41732	27.300	238	241	249
O60635	P11049	26.500	271	241	281
O60635	P0C672	25.500	243	241	248
O60635	Q569A2	25.600	238	241	305
Q9Z0F8	Q9H013	26.600	473	827	955
Q9Z0F8	Q8TC27	22.000	526	827	787
P02144	P02088	28.900	145	154	147
P52209	P31937	19.800	191	483	336
Q9QUM4	Q9ET39	24.000	241	343	351
Q86VZ4	Q924X6	54.500	33	500	996
Q86VZ4	P98073	35.000	77	500	1019
Q9Y4L1	Q0VDF9	28.700	397	999	509
Q9Y4L1	P48723	26.800	455	999	471
Q9P253	Q91W86	21.300	552	973	941
Q9P253	P49754	22.000	231	973	854
Q9BVC4	Q9UNX4	23.700	299	326	943
Q9BVC4	Q8TAF3	26.600	154	326	677
Q9BVC4	Q3ULA2	24.000	229	326	605
Q9BVC4	Q8N0X2	20.700	246	326	631
Q9BVC4	Q12788	21.400	354	326	808
Q9BVC4	P35606	23.700	156	326	906
Q9BVC4	Q8N1V2	18.200	258	326	620
Q9BVC4	G3V9M3	23.200	155	326	921
Q9BVC4	P54319	21.300	300	326	795
Q9BVC4	Q04727	27.300	172	326	773
Q9BVC4	Q9NZJ0	22.000	286	326	730
Q9BVC4	Q3TWF6	23.300	313	326	657
Q9BVC4	Q9BUR4	23.200	211	326	548
Q9BVC4	XP_001074000	17.900	173	326	988
Q9BVC4	Q13033	19.800	332	326	797
Q9BVC4	Q9Y4P3	20.300	339	326	447
Q9BVC4	O60508	18.800	292	326	579
Q4G0J3	Q6A0A2	34.200	73	582	741
Q4G0J3	Q9Y4C8	35.200	71	582	960
Q4G0J3	Q15020	34.300	64	582	963
P51957	O14936	30.900	268	841	926
P51957	Q32MK0	27.400	215	841	819
P51957	P70600	26.000	246	841	1009
P51957	Q52WX2	24.200	276	841	424
P51957	Q13523	33.900	115	841	1007
P51957	O15197	26.500	222	841	1021
P51957	O43187	28.000	146	841	625
P51957	Q96KG9	25.000	188	841	808
Q8IZF5-2	Q8IZP9	26.900	338	873	1017
Q8IZF5-2	Q96K78	24.700	363	873	797
Q8IZF5-2	Q03431	27.000	196	873	593
Q96CW5	B2RYP8	27.400	594	907	905
Q9BXR6	P04003	24.100	435	569	597
Q9BXR6	Q53EL9	20.300	492	569	994
P30038	Q64057	25.200	463	563	539
P30038	Q9EQ20	24.600	409	563	535
Q07763	P09326	23.600	152	397	243
Q07763	Q9ET39	20.900	181	397	351
Q9UGP4	Q8K4G5	27.700	220	676	861
Q9UGP4	A7YQ68	23.600	190	676	901
Q9WU82	Q5W041	20.600	435	781	872
Q9WU82	B4F7F3	23.800	420	781	973
Q9WU82	Q96C12	26.600	274	781	935
Q9Y227	Q8BFW6	25.900	470	616	529
Q9Y227	O75354	25.200	463	616	484
Q8N8A6	Q9JIK5	26.100	447	666	851
Q8N8A6	Q9JJY4	25.800	418	666	825
Q8N8A6	O94762	22.100	374	666	991
Q9UQB8	Q6UXY1	26.800	577	552	529
